Date,Open,High,Low,Close,Adj Close,Volume
2000-05-26,20.250000,20.367188,20.242188,20.242188,15.213005,728400
2000-05-30,20.664063,21.125000,20.625000,21.082031,15.844181,92800
2000-05-31,21.082031,21.328125,21.031250,21.031250,15.806020,54000
2000-06-01,21.421875,21.550781,21.210938,21.343750,16.040890,62800
2000-06-02,22.042969,22.046875,21.875000,22.046875,16.569317,56000
2000-06-05,21.972656,22.031250,21.933594,21.937500,16.487108,90800
2000-06-06,21.812500,22.019531,21.757813,21.757813,16.352074,21600
2000-06-07,21.835938,22.070313,21.730469,22.054688,16.575180,40400
2000-06-08,22.093750,22.093750,21.921875,21.968750,16.510599,39200
2000-06-09,21.968750,22.039063,21.921875,21.921875,16.475378,2400
2000-06-12,21.882813,21.933594,21.644531,21.656250,16.275742,20400
2000-06-13,21.585938,22.093750,21.558594,22.093750,16.604542,24400
2000-06-14,22.195313,22.359375,22.148438,22.183594,16.672066,119600
2000-06-15,22.191406,22.507813,22.191406,22.421875,16.851149,223200
2000-06-16,22.468750,22.527344,22.402344,22.503906,16.912800,10400
2000-06-19,22.375000,22.554688,22.375000,22.554688,16.950960,2800
2000-06-20,22.625000,22.875000,22.601563,22.609375,16.992062,3200
2000-06-21,22.765625,22.828125,22.648438,22.828125,17.161022,20800
2000-06-22,22.734375,22.734375,22.265625,22.289063,16.755781,45200
2000-06-23,22.164063,22.269531,22.164063,22.175781,16.670616,14000
2000-06-26,22.218750,22.382813,22.144531,22.382813,16.826256,50400
2000-06-27,22.382813,22.382813,22.382813,22.382813,16.826256,0
2000-06-28,22.355469,22.445313,22.351563,22.445313,16.873238,6400
2000-06-29,22.082031,22.335938,22.058594,22.335938,16.791016,54400
2000-06-30,22.062500,22.332031,22.062500,22.332031,16.788074,16000
2000-07-03,22.578125,22.703125,22.578125,22.703125,17.067059,4400
2000-07-05,22.375000,22.421875,22.171875,22.234375,16.714666,229600
2000-07-06,22.117188,22.414063,22.117188,22.414063,16.849751,21200
2000-07-07,22.421875,22.875000,22.421875,22.875000,17.196249,22400
2000-07-10,22.687500,22.769531,22.617188,22.695313,17.061169,17600
2000-07-11,22.800781,22.812500,22.515625,22.632813,17.014193,136400
2000-07-12,22.835938,23.015625,22.757813,22.917969,17.228559,108800
2000-07-13,22.957031,23.089844,22.875000,22.949219,17.252048,12000
2000-07-14,23.054688,23.207031,22.992188,23.207031,17.445868,37600
2000-07-17,23.265625,23.562500,23.265625,23.519531,17.680782,46400
2000-07-18,23.332031,23.332031,23.125000,23.125000,17.384193,15600
2000-07-19,22.835938,22.898438,22.765625,22.832031,17.163954,10800
2000-07-20,22.898438,23.210938,22.898438,23.210938,17.448793,10000
2000-07-21,22.871094,22.871094,22.812500,22.832031,17.163954,10400
2000-07-24,22.902344,22.937500,22.453125,22.464844,16.887924,104000
2000-07-25,22.582031,22.613281,22.453125,22.554688,16.955458,124000
2000-07-26,22.484375,22.527344,22.250000,22.488281,16.905535,86800
2000-07-27,22.210938,22.304688,22.003906,22.097656,16.611889,160000
2000-07-28,22.171875,22.183594,21.390625,21.480469,16.147926,101200
2000-07-31,21.601563,21.812500,21.476563,21.628906,16.259506,111200
2000-08-01,21.664063,21.812500,21.601563,21.660156,16.283001,254400
2000-08-02,21.589844,21.882813,21.589844,21.597656,16.236012,64800
2000-08-03,21.371094,21.878906,21.304688,21.843750,16.421022,80000
2000-08-04,22.000000,22.031250,21.777344,21.914063,16.473873,101600
2000-08-07,21.964844,22.261719,21.925781,22.234375,16.714666,64400
2000-08-08,22.140625,22.410156,22.132813,22.343750,16.796886,99600
2000-08-09,22.496094,22.496094,22.187500,22.187500,16.679426,37200
2000-08-10,22.007813,22.109375,21.875000,21.875000,16.444517,17200
2000-08-11,21.828125,22.003906,21.648438,21.953125,16.503237,85600
2000-08-14,21.968750,22.285156,21.902344,22.285156,16.752850,35200
2000-08-15,22.273438,22.398438,22.226563,22.257813,16.732286,13200
